seed,train_epochs,noise_multiplier,dp_enabled,clip_norm,test_acc,mse,cosine_sim,feat_corr,dlg_iters
1,10,0.0,False,0.0,0.5516415569199417,0.074174664914608,0.013019677251577377,0.04722887536903849,300
1,10,0.005,True,1.0,0.4529005586000454,0.060709480196237564,0.011023490689694881,0.051960400389864526,300
1,10,0.01,True,1.0,0.41664528698169323,0.06375344097614288,0.013615179806947708,0.051568086429814204,300
1,10,0.02,True,1.0,0.3896388831043525,0.07553292065858841,0.005395677872002125,0.04643187973701404,300
1,10,0.05,True,1.0,0.29307114774226434,0.08476404845714569,0.003764111315831542,0.04443479724539441,300
1,30,0.0,False,0.0,0.7414840380145316,0.05646432936191559,0.014121497049927711,0.04918964131393431,300
1,30,0.005,True,1.0,0.576281893310554,0.06408438086509705,0.0077920276671648026,0.046311119970029506,300
1,30,0.01,True,1.0,0.5546949074178537,0.06699380278587341,0.005621094256639481,0.048451220485538245,300
1,30,0.02,True,1.0,0.5245388910240402,0.07814788818359375,0.004599395208060741,0.04647367667749741,300
1,30,0.05,True,1.0,0.37236029273958293,0.09946098178625107,0.0012529499363154173,0.04584754894900492,300
1,100,0.0,False,0.0,0.805810889584099,0.05295717343688011,0.00814334861934185,0.04923362891315357,300
1,100,0.005,True,1.0,0.5495675977104876,0.06609035283327103,0.005572437308728695,0.046644567232844554,300
1,100,0.01,True,1.0,0.5369515018743989,0.06977751106023788,0.006805215496569872,0.04537441505484211,300
1,100,0.02,True,1.0,0.5325287609764181,0.08021862059831619,0.00219137454405427,0.045303831354018186,300
1,100,0.05,True,1.0,0.49980479282941914,0.11448385566473007,-5.899672396481037e-05,0.0454691172111699,300
2,10,0.0,False,0.0,0.5193999329887254,0.06700275093317032,0.009594567120075226,0.04773931683947637,300
2,10,0.005,True,1.0,0.3860504397217244,0.05867123603820801,0.004578461870551109,0.04765330016364221,300
2,10,0.01,True,1.0,0.3160030777006241,0.06354667246341705,0.006195285357534885,0.04878364391103936,300
2,10,0.02,True,1.0,0.30618789387616485,0.08030268549919128,0.005395732820034027,0.04555702408086827,300
2,10,0.05,True,1.0,0.30154896989200636,0.09126909077167511,0.0017474466003477573,0.042115482926621844,300
2,30,0.0,False,0.0,0.7532013368791457,0.05533219128847122,0.00862851645797491,0.05027132347838414,300
2,30,0.005,True,1.0,0.5264566898169863,0.06262493878602982,0.007320962380617857,0.04656222066531303,300
2,30,0.01,True,1.0,0.5081673846683262,0.06569541245698929,0.00912606529891491,0.05078026550194578,300
2,30,0.02,True,1.0,0.43945888305520375,0.08244356513023376,0.002400157740339637,0.04305763301297051,300
2,30,0.05,True,1.0,0.3066694800366415,0.1027003601193428,0.0002832594618666917,0.04130319331398951,300
2,100,0.0,False,0.0,0.8122793886606943,0.05767394229769707,0.00799744762480259,0.04757702853481062,300
2,100,0.005,True,1.0,0.5070180059733912,0.06868218630552292,0.0035737031139433384,0.047877119585674005,300
2,100,0.01,True,1.0,0.5028225944722773,0.07080607861280441,0.005250120535492897,0.04781839775690194,300
2,100,0.02,True,1.0,0.5274167013199149,0.07879355549812317,0.0072548845782876015,0.045295685121387,300
2,100,0.05,True,1.0,0.44172770310980186,0.10963241755962372,0.0016173854237422347,0.04098820023123984,300
3,10,0.0,False,0.0,0.5585207466360738,0.11042226105928421,0.0186625923961401,0.04858964705653108,300
3,10,0.005,True,1.0,0.4352799314713901,0.06614156812429428,0.007211513351649046,0.045266209206574315,300
3,10,0.01,True,1.0,0.3635984777611855,0.06502121686935425,0.011495118960738182,0.04757919135952766,300
3,10,0.02,True,1.0,0.3161456267427834,0.07605145126581192,0.00511594582349062,0.04626219842619652,300
3,10,0.05,True,1.0,0.28497357534979256,0.09070269018411636,0.002294691512361169,0.04365682027180435,300
3,30,0.0,False,0.0,0.7555674244285159,0.05256097391247749,0.011012964881956577,0.0493776653952186,300
3,30,0.005,True,1.0,0.5672328815282359,0.07089144736528397,0.012947717681527138,0.04593655711702539,300
3,30,0.01,True,1.0,0.5570921562446978,0.0702635869383812,0.004587183240801096,0.046388042644564954,300
3,30,0.02,True,1.0,0.5114613536145521,0.08472376316785812,0.001181692467071116,0.045553851169525,300
3,30,0.05,True,1.0,0.3335916744201187,0.10585904866456985,0.004089332185685635,0.04320094469329733,300
3,100,0.0,False,0.0,0.8225615123614252,0.05337805300951004,0.009524843655526638,0.0494506578950074,300
3,100,0.005,True,1.0,0.5559787352733105,0.06754621863365173,0.005556321702897549,0.045299129739438115,300
3,100,0.01,True,1.0,0.5254300792028844,0.07433721423149109,0.00578053155913949,0.04438982441017047,300
3,100,0.02,True,1.0,0.5531570394378997,0.09776148945093155,0.004212536849081516,0.04349831238321201,300
3,100,0.05,True,1.0,0.49109328702158206,0.13681067526340485,0.0053461468778550625,0.0425526118761124,300
